97,318,0
125,540,0
346,431,10
355,578,10
355,1160,10
371,1049,10
400,1071,10
676,1,10
713,776,10
754,1253,10
760,1079,20
766,771,20
777,362,20
65,546,20
191,158,20
201,1225,20
503,488,30
768,290,30
113,155,30
125,540,30
374,206,30
447,294,30
789,375,30
97,318,40
251,31,40
437,1135,40
528,472,40
539,1153,40
676,1,40
713,776,51
262,603,51
731,1123,51
275,1270,51
104,622,51
437,1135,61
690,392,61
273,240,61
407,435,61
464,424,61
731,1123,61
58,424,61
528,472,71
701,1054,71
751,1249,71
246,513,71
709,501,71
9,672,71
186,928,81
385,32,81
647,1141,81
690,392,81
12,421,81
58,424,81
97,318,92
105,177,92
107,753,92
273,240,92
281,1077,92
333,527,92
343,676,92
349,904,102
541,297,102
655,836,102
746,1261,102
9,672,102
11,1103,102
96,654,112
113,155,112
151,1262,112
162,383,112
239,378,112
275,1270,112
371,498,112
385,283,122
528,472,122
724,1038,122
743,1260,122
767,266,122
29,489,122
96,654,133
105,177,133
162,1267,133
210,1136,133
214,864,133
243,102,133
251,996,143
268,431,143
269,967,143
447,981,143
487,498,143
492,178,143
505,242,143
583,500,153
701,1054,153
720,358,153
724,1038,153
117,278,153
136,949,153
246,513,163
269,967,163
327,54,163
370,85,163
472,1173,163
548,564,163
655,1059,163
754,385,174
799,818,174
0,1113,174
178,710,174
349,904,174
464,424,174
478,187,184
168,421,184
196,928,184
371,462,194
516,865,194
768,683,194
383,768,194
371,462,204
464,424,204
88,78,204
768,683,204
794,1228,215
12,421,215
106,337,215
184,1194,215
214,1226,215
232,635,215
374,206,215
516,865,225
545,1263,225
678,1160,225
720,1084,225
794,1228,225
81,392,225
88,78,235
133,707,235
419,631,235
464,424,235
496,1052,235
505,101,235
678,1160,245
232,635,245
383,934,245
447,294,245
799,818,245
68,113,245
106,337,245
383,768,256
756,1256,256
326,572,266
328,137,266
51,702,266
242,373,266
251,173,266
273,771,266
292,1007,276
417,566,276
756,1256,276
764,930,276
787,788,276
54,668,276
541,1174,276
749,1259,286
751,1248,286
63,295,286
251,173,286
328,137,286
560,1098,286
320,686,296
682,941,296
51,702,296
667,868,296
787,788,296
455,848,296
326,572,307
242,373,307
255,687,307
104,1274,307
132,510,307
682,941,317
744,1246,317
587,727,317
51,702,317
96,1215,317
326,572,317
603,112,327
703,391,327
